k,E_Jx,E_Jy,E_Jz
1.0,2.13293084198819e-34,3.442489170691533e-34,3.3381086793429632e-34
2.0,3.3366382680739736e-34,4.784270257628223e-34,3.7940740898654244e-34
3.0,7.047687759768594e-34,9.169233273784297e-34,5.7429244478000315e-34
4.0,9.662785689129988e-34,1.301051821926545e-33,9.945499362941126e-34
5.0,1.679900738663856e-33,1.8388430189903756e-33,1.9769017623154386e-33
6.0,2.356130634992958e-33,2.0045391224637275e-33,1.9450615938761097e-33
7.0,2.9734097326761907e-33,2.6278953434265358e-33,2.5753202702177873e-33
8.0,3.396690571676671e-33,3.365096825099668e-33,3.086616487036408e-33
9.0,4.43739898479459e-33,4.4852251560643794e-33,4.2851076973789276e-33
10.0,4.1279900731829376e-33,4.4727066630779944e-33,3.910124202205829e-33
11.0,3.9279634310196995e-33,3.9088880762052274e-33,4.209612206159299e-33
12.0,4.1918309729776176e-33,4.4175951457855486e-33,4.347741218621401e-33
13.0,4.3152633192484346e-33,4.2464206078069326e-33,4.358548521769183e-33
14.0,3.7315751965171756e-33,4.110456846147907e-33,4.0689208459256746e-33
15.0,3.2387587038261766e-33,3.432829736524543e-33,3.513412057902215e-33
16.0,3.438252348287955e-33,3.6425522809837686e-33,3.7188994776507536e-33
17.0,2.961862578058721e-33,3.0071335041733523e-33,3.287144773380878e-33
18.0,2.413945146942141e-33,2.581841989767828e-33,2.7614812365088752e-33
19.0,1.9521825547943735e-33,2.0260185981425056e-33,2.1304753052377714e-33
20.0,1.6307176134765652e-33,1.7400705216448482e-33,1.801494924619511e-33
21.0,1.3434227573399639e-33,1.359538722015458e-33,1.4490102793207381e-33
22.0,9.631487928641118e-34,1.0218273645413244e-33,1.067304352641607e-33
23.0,7.235439741722887e-34,7.524348834883507e-34,7.886520507118773e-34
24.0,5.098686537300842e-34,5.413095655574543e-34,5.397407706352996e-34
25.0,3.692869069340426e-34,3.513229971443853e-34,3.666696686195018e-34
26.0,2.2409722110745377e-34,2.326250047840545e-34,2.3109682409677397e-34
27.0,1.3841151241656934e-34,1.3405285271862098e-34,1.3764155497143454e-34
28.0,8.396936313561362e-35,8.085429789102563e-35,8.442050247273274e-35
29.0,4.4920482527832413e-35,4.6334581820658013e-35,4.4171048241725285e-35
30.0,2.404637633713266e-35,2.2935285451542302e-35,2.2877863171416094e-35
31.0,1.2654558405849538e-35,1.1919166619297013e-35,1.1619482035259884e-35
32.0,6.029037595140598e-36,5.8398815715815795e-36,5.472092104966171e-36
33.0,2.7495849185462055e-36,2.6702011831794823e-36,2.5805316421521857e-36
34.0,1.1772753183750646e-36,1.1125267883322704e-36,1.1005581819872523e-36
35.0,4.866415444253578e-37,4.544615254310599e-37,4.235370534121555e-37
36.0,2.143550761715254e-37,1.8514082712195687e-37,1.7138083119130255e-37
37.0,9.11070414293115e-38,7.474997478642983e-38,6.236959129711069e-38
38.0,4.775493679209221e-38,3.456002887168057e-38,2.559311921674239e-38
39.0,2.8667671036293e-38,1.7859521880587277e-38,1.135284091051847e-38
40.0,2.1061919127488026e-38,1.1182048335610239e-38,5.912975186168656e-39
41.0,1.6156538722252888e-38,8.511903309458763e-39,4.016226555168103e-39
42.0,1.3026594240639563e-38,6.027298841989838e-39,3.0921556242239784e-39
43.0,1.1183730732911366e-38,5.290118390066205e-39,2.5351285704173807e-39
