k,Ek
1.0,1.3252158882675604
2.0,2.391031338552096
3.0,6.283051326606273
4.0,10.120252004247355
5.0,11.817738725845885
6.0,19.017777807499726
7.0,30.09523819619934
8.0,64.87755112565465
9.0,45.634157693968824
10.0,55.85840731943187
11.0,69.83429277487079
12.0,73.53076092000312
13.0,107.52788722817895
14.0,101.36974554668717
15.0,110.21659334240238
16.0,132.6013099386524
17.0,118.96207927781711
18.0,149.14782638678452
19.0,117.90017008550566
20.0,190.98465410964397
21.0,144.04114500950453
22.0,173.5201585067544
23.0,160.75277260958256
24.0,188.41157444252713
25.0,178.76074216056628
26.0,186.9719459134614
27.0,190.36717128977747
28.0,173.72611571389555
29.0,207.3438335892451
30.0,190.39761758470877
31.0,205.9810107240198
32.0,212.46074567101573
33.0,211.54831936430475
34.0,254.88088528818923
35.0,220.67616728115095
36.0,255.59409155129822
37.0,230.67213065863012
38.0,230.6181357538137
39.0,235.53080983287043
40.0,252.6641338215881
41.0,247.25925275882128
42.0,251.38881838018125
43.0,277.0841536071302
44.0,238.3971819846952
45.0,272.96749108768574
46.0,270.07092332903665
47.0,275.8779105706761
48.0,297.10080684594766
49.0,300.2159481346516
50.0,306.4704660141563
51.0,295.20905235773233
52.0,323.3536711506776
53.0,313.9331698958132
54.0,307.13137962270486
55.0,320.39901093718163
56.0,322.8963445628321
57.0,337.7547575265907
58.0,341.10747584880295
59.0,347.0829602615816
60.0,344.6856291363087
61.0,370.47395112984236
62.0,361.90434134223256
63.0,365.4080032971192
64.0,390.5651551677289
65.0,378.5065051773846
66.0,387.2914322932564
67.0,385.443819317673
68.0,391.1748938381734
69.0,390.434036260371
70.0,394.1019175162686
71.0,403.1385114909502
72.0,415.69368254614693
73.0,429.08128368811236
74.0,445.70668625241433
75.0,432.4311874769821
76.0,446.18205284295635
77.0,455.65313945153133
78.0,450.47463811347035
79.0,463.572803642719
80.0,480.25776768029243
81.0,473.5760018877476
82.0,480.8501564437421
83.0,488.1630549915248
84.0,491.095135772849
85.0,499.686343686393
86.0,510.0948965855055
87.0,512.016966354711
88.0,524.8209824375416
89.0,535.1036219849868
90.0,554.5608433653665
91.0,541.3218142223451
92.0,553.469445849233
93.0,561.2836237497886
94.0,555.1828443771384
95.0,570.8340767476583
96.0,576.4674094350719
97.0,590.2656305656989
98.0,597.5378630922568
99.0,607.0877744203449
100.0,615.0647570880166
101.0,620.9049854850473
102.0,632.2668825023239
103.0,640.9547255852397
104.0,644.3017814050409
105.0,665.1121735730984
106.0,671.1710930965075
107.0,669.1043115328231
108.0,678.4573884328057
109.0,689.7671151195227
110.0,685.5531361147523
111.0,705.3860797235125
112.0,709.0074989047444
113.0,720.0807208150401
114.0,732.7558235313741
115.0,743.7266147277752
116.0,759.8520387466939
117.0,764.7166844023293
118.0,772.9540682892963
119.0,779.1836537139665
120.0,792.2447449795911
121.0,799.2620492510541
122.0,816.0621470947491
123.0,815.8822748373857
124.0,827.4568299504424
125.0,843.8311025597761
126.0,845.1657412408882
127.0,870.6600591124499
128.0,882.918439769757
129.0,890.6700741712195
130.0,892.0418497145079
131.0,905.4594936134185
132.0,922.5740236686752
133.0,924.2459744203588
134.0,940.6615088172396
135.0,941.2287320523313
136.0,957.1832975157591
137.0,978.1871036008845
138.0,980.7183002212297
139.0,993.0494598145609
140.0,1012.8825523783727
141.0,1016.5910886551256
142.0,1036.8697709482778
143.0,1039.732349331778
144.0,1065.8246715484688
145.0,1069.2677945226665
146.0,1084.909593946974
147.0,1095.6491483568552
148.0,1109.055637797547
149.0,1120.2541082599637
150.0,1134.175688931896
151.0,1137.2601230051014
152.0,1152.727625926322
153.0,1173.8722005060656
154.0,1193.2709977328313
155.0,1196.9508466795353
156.0,1214.9709520478666
157.0,1228.13223590382
158.0,1240.685953337809
159.0,1247.7626731167788
160.0,1273.7679313452918
161.0,1287.3071518020536
162.0,1298.0813353139397
163.0,1319.10795033854
164.0,1320.9311421470402
165.0,1347.3274378644712
166.0,1355.498571707779
167.0,1374.0905186993448
168.0,1390.9274894306443
169.0,1407.0222268366201
170.0,1428.979464426777
171.0,1437.672946970484
172.0,1451.3562027808948
173.0,1466.5429600472105
