k,Ek
1.0,1.5409776718233763
2.0,1.3722598292887345
3.0,3.4409934762952563
4.0,15.920085989512414
5.0,6.198128591206662
6.0,4.212659417719901
7.0,8.707211238790576
8.0,82.09410907013033
9.0,17.694222273817843
10.0,10.746029976439244
11.0,15.0007865292588
12.0,26.092116402569232
13.0,19.649163458922345
14.0,16.17099464301914
15.0,9.85776981479025
16.0,39.58239195690813
17.0,16.723706680634287
18.0,22.60040654771953
19.0,23.624044853965472
20.0,24.459888769402216
21.0,17.632103633769212
22.0,19.052852375826706
23.0,19.150413108175655
24.0,33.80759319355681
25.0,21.82016919169125
26.0,15.694074461884806
27.0,16.496899553311316
28.0,23.322506650088243
29.0,20.64902902999904
30.0,14.88246609743149
31.0,15.165189676780367
32.0,16.618200853520158
33.0,15.783026136136325
34.0,13.301944982762787
35.0,14.589436975571443
36.0,17.00451102148948
37.0,13.567180662133818
38.0,13.147671798140877
39.0,12.102965487727452
40.0,19.13211189428425
41.0,13.051665783347318
42.0,10.77105232949463
43.0,11.746752156909244
44.0,13.557823658003656
45.0,14.21978003318541
46.0,10.24838868475019
47.0,11.270140254948275
48.0,11.347138575641509
49.0,12.040704509750194
50.0,9.829929047916004
51.0,9.426362459330118
52.0,11.01194382348129
53.0,9.850517109027352
54.0,8.962202210085637
55.0,8.210611168802952
56.0,10.41545328626696
57.0,10.269856793531444
58.0,8.049057958585996
59.0,8.49137928204345
60.0,9.332934949796762
61.0,9.054217203080396
62.0,7.849860823840947
63.0,7.397255599905213
64.0,9.293348162186291
65.0,9.198882749408442
66.0,7.806064426584642
67.0,7.1272974278326755
68.0,8.169203669444732
69.0,7.497392669593773
70.0,7.002205921361181
71.0,6.620275498940706
72.0,7.826412857612761
73.0,7.408015217250338
74.0,6.5420137977625705
75.0,6.6211906049309714
76.0,6.864357059373431
77.0,6.629832863592733
78.0,6.091831408622689
79.0,5.926706391292455
80.0,6.753886302835401
81.0,6.632296097237392
82.0,5.877763813501364
83.0,5.713781319182107
84.0,6.482169033382714
85.0,5.8283094643111095
86.0,5.611312128935519
87.0,5.446265896549677
88.0,6.113861735533023
89.0,6.042796513187736
90.0,5.295815806352591
91.0,5.498628746419834
92.0,5.738793284781264
93.0,5.38389942705387
94.0,4.932599823122876
95.0,5.038830117904474
96.0,5.633791087099195
97.0,5.4076803103342845
98.0,4.76196400868943
99.0,4.838008753724239
100.0,5.432088460883558
101.0,4.919243951085949
102.0,4.476982362833953
103.0,4.607799204587829
104.0,4.879309299018379
105.0,4.763253403355301
106.0,4.262255539213155
107.0,4.6260418338418985
108.0,4.9561257787941395
109.0,4.582256317732901
110.0,4.107498615594483
111.0,4.277683131602139
112.0,4.574477176504715
113.0,4.482483166242974
114.0,4.141032881647313
115.0,4.31305446389424
116.0,4.734471096679241
117.0,4.25495197043023
