k,E_rho
1.0,2.9838531904354263e-35
2.0,2.4486675862187325e-35
3.0,3.6890336192905395e-35
4.0,5.06790462306668e-35
5.0,7.137578926029212e-35
6.0,8.904742781469011e-35
7.0,1.2065940006582008e-34
8.0,1.3618082699052138e-34
9.0,1.9947783990148676e-34
10.0,1.8092830566686442e-34
11.0,2.038219641063016e-34
12.0,2.1295195506655765e-34
13.0,2.1546242611277784e-34
14.0,2.113466979260042e-34
15.0,1.8425328165722497e-34
16.0,2.000874436346677e-34
17.0,1.8256994287360141e-34
18.0,1.6564377013711206e-34
19.0,1.3551942677897504e-34
20.0,1.2476310417512944e-34
21.0,1.0777217248518238e-34
22.0,8.318197923584692e-35
23.0,6.270188129566596e-35
24.0,4.801780686907017e-35
25.0,3.473720932976925e-35
26.0,2.3234053268625656e-35
27.0,1.4369269443519667e-35
28.0,9.037458772689849e-36
29.0,5.178957713624262e-36
30.0,2.7775728086332473e-36
31.0,1.505853372923697e-36
32.0,7.19688359889853e-37
33.0,3.4197963746431297e-37
34.0,1.4623964215642147e-37
35.0,5.9775072995503e-38
36.0,2.5286907935455554e-38
37.0,9.206485731052306e-39
38.0,3.6126734899863084e-39
39.0,1.2913117282707456e-39
40.0,5.532431302260269e-40
41.0,2.4856465564709034e-40
42.0,1.511080608324259e-40
43.0,1.165770358861296e-40
44.0,9.077901606325851e-41
45.0,6.228882978304101e-41
46.0,4.220023880139909e-41
47.0,2.521954605298367e-41
48.0,1.4882059507276094e-41
49.0,8.07683374993703e-42
50.0,3.79307158625291e-42
51.0,1.426789328145697e-42
52.0,5.737502568786684e-43
53.0,2.202658922267405e-43
54.0,7.349054555599145e-44
55.0,2.1011320253311783e-44
56.0,5.447988270439079e-45
57.0,8.812441408984165e-46
58.0,1.3712032316051624e-46
59.0,5.067646144651154e-47
60.0,3.1864858015607306e-47
61.0,2.518764815170936e-47
62.0,1.7166096679996626e-47
63.0,4.156904733738584e-47
64.0,5.599085561809284e-47
65.0,2.758808174531983e-47
66.0,3.1040764035992707e-47
67.0,3.7840449937799276e-47
68.0,2.0261114141987344e-47
69.0,9.443316834734719e-48
70.0,2.0495597351888795e-48
71.0,1.7934410759825692e-49
72.0,3.091103158759373e-50
73.0,7.013489608163861e-51
74.0,8.515271802017648e-52
75.0,9.98163117367416e-53
76.0,2.442373170834684e-53
77.0,1.388507871133784e-53
78.0,1.1850033913689262e-53
79.0,5.815062747570084e-54
80.0,1.7598368691028218e-54
81.0,1.4288310244065226e-55
82.0,4.5590139386046885e-56
83.0,4.2990404462263115e-57
84.0,2.6464082671887595e-58
85.0,4.310704837711875e-59
86.0,1.89960545455591e-59
87.0,1.9691815438999287e-59
88.0,2.1341576900344793e-59
89.0,7.569770091105782e-60
90.0,1.9734536809390246e-60
91.0,8.065477477958444e-61
92.0,3.771974090979834e-60
93.0,6.258883971990644e-61
94.0,2.3459847187804192e-63
95.0,9.286220328269717e-65
96.0,1.412558919970204e-65
97.0,4.190471085543497e-66
98.0,3.169659137972884e-66
99.0,3.0373119042180854e-66
100.0,3.321540062600312e-66
101.0,2.8301656737597397e-66
102.0,2.8116702521577494e-66
103.0,3.053451843276321e-66
104.0,3.719625954226127e-66
105.0,3.049957020821853e-66
106.0,3.0438117240437807e-66
107.0,3.234011035827101e-66
108.0,3.0951351461819186e-66
109.0,2.7413421819169654e-66
110.0,3.104875338687332e-66
111.0,3.4273899765131894e-66
112.0,3.4676735882404855e-66
113.0,3.3106783453262836e-66
114.0,3.469306731196648e-66
115.0,3.9441355553484377e-66
116.0,3.5407644733894564e-66
117.0,4.004408630440242e-66
118.0,3.9029418888773417e-66
119.0,3.985707688374563e-66
120.0,4.4006821805768134e-66
121.0,4.6379153767086925e-66
122.0,4.174036583948684e-66
123.0,5.070703577230915e-66
124.0,4.353587107609159e-66
125.0,4.240561796691827e-66
126.0,4.669288154728435e-66
127.0,4.7236792014136855e-66
128.0,5.107552773707526e-66
129.0,4.939650292860612e-66
130.0,4.7215438854187065e-66
131.0,4.6706120766003483e-66
132.0,6.127394199907857e-66
133.0,4.318458581566277e-66
134.0,5.599162586884295e-66
135.0,4.533686196473648e-66
136.0,5.274852547508595e-66
137.0,4.682983002983658e-66
138.0,4.497420869700111e-66
139.0,4.443518944598807e-66
140.0,5.561199606644814e-66
141.0,4.2620437054243644e-66
142.0,4.4178092439313625e-66
143.0,4.61259708377313e-66
144.0,4.855285961950935e-66
145.0,4.345133351714839e-66
146.0,4.292875698577849e-66
147.0,4.632724767132408e-66
148.0,4.463258496232741e-66
149.0,4.0099628529196864e-66
150.0,3.9249494441089395e-66
151.0,4.150592809398521e-66
152.0,5.109038515585154e-66
153.0,4.069479000975498e-66
154.0,4.4122337423058805e-66
155.0,4.3702750188647716e-66
156.0,5.571494798177232e-66
157.0,4.1677128315092864e-66
158.0,4.228878172771277e-66
159.0,4.399166458864381e-66
160.0,1.2097091443405665e-65
161.0,4.6115337727621223e-66
162.0,4.5163797008539034e-66
163.0,4.4663030559807476e-66
164.0,4.676622183522024e-66
165.0,4.336465785556477e-66
166.0,4.526008905668844e-66
167.0,4.4323061493122556e-66
168.0,6.65365899970313e-66
169.0,4.951051040643911e-66
170.0,4.888137748221014e-66
171.0,4.6843744452343284e-66
172.0,4.7028792740218304e-66
173.0,4.785673140246726e-66
174.0,4.948710661789048e-66
175.0,5.324273190670494e-66
176.0,6.797292742212847e-66
177.0,4.898258032620434e-66
178.0,5.218781176713924e-66
179.0,5.204296516017141e-66
180.0,5.870554267606816e-66
181.0,5.480719617868476e-66
182.0,5.788892638546628e-66
183.0,5.736108756456279e-66
184.0,6.16573794159616e-66
185.0,5.860449425478549e-66
186.0,5.618417009130433e-66
187.0,5.883218575875711e-66
188.0,6.525228913178455e-66
189.0,6.617066359992064e-66
190.0,6.181536450610455e-66
191.0,6.129344744723568e-66
192.0,1.2192402252226981e-65
193.0,6.780510766725634e-66
194.0,6.768065277875624e-66
195.0,6.329363336411109e-66
196.0,6.580442323415671e-66
197.0,6.402970595188626e-66
198.0,6.371511579679737e-66
199.0,6.257289422356291e-66
200.0,6.705898751373721e-66
201.0,6.523306248487931e-66
202.0,6.354984002596735e-66
203.0,6.141181259583409e-66
204.0,6.213403885215768e-66
205.0,6.088401711467592e-66
206.0,5.995278131188604e-66
207.0,6.019254727308678e-66
208.0,1.6426002811178455e-65
209.0,6.186907314694779e-66
210.0,5.949201786986226e-66
211.0,6.235056517034504e-66
212.0,5.985154891697013e-66
213.0,6.159842767350818e-66
214.0,6.0141058554755e-66
215.0,5.994244466758661e-66
216.0,6.906202633567366e-66
217.0,6.194702991028599e-66
218.0,5.977787374003848e-66
219.0,6.500743281741096e-66
220.0,6.355193627563611e-66
221.0,6.284045821347922e-66
222.0,6.700447869761305e-66
223.0,6.226693252509161e-66
224.0,1.7352927189508664e-65
225.0,6.644025721819878e-66
226.0,6.458983528768308e-66
227.0,6.43285453571629e-66
228.0,6.528615092724252e-66
229.0,6.542618326435968e-66
230.0,6.587483900317815e-66
231.0,6.320640198394076e-66
232.0,7.406120152952611e-66
233.0,6.633003003808196e-66
234.0,6.681560116588769e-66
235.0,7.109291854251926e-66
236.0,7.585569897409422e-66
237.0,7.47636397836107e-66
238.0,7.768239513298921e-66
239.0,7.548650112659232e-66
240.0,1.1153037333198416e-65
241.0,7.721376545355678e-66
242.0,9.351395390306115e-66
243.0,8.582263903946068e-66
244.0,9.986641272966178e-66
245.0,9.865278942174883e-66
246.0,1.0370366329474944e-65
247.0,1.0369762834688071e-65
248.0,1.844069624736095e-65
249.0,1.299498394319517e-65
250.0,1.3888729829625898e-65
251.0,1.3366122861476336e-65
252.0,1.5504695040370258e-65
253.0,1.4559803098576537e-65
254.0,1.6977779070237526e-65
255.0,1.580981073196031e-65
256.0,2.8730921756645075e-65
257.0,7.619646343832074e-66
258.0,6.723866619903043e-66
259.0,6.685324491849408e-66
260.0,6.307831133916796e-66
261.0,6.199699933753978e-66
262.0,6.853638311831457e-66
263.0,6.008010437079539e-66
264.0,6.2129122988104e-66
265.0,6.003174980480562e-66
266.0,6.858523639052399e-66
267.0,5.649301738243392e-66
268.0,5.784188781179041e-66
269.0,5.998938286445188e-66
270.0,5.759693745571532e-66
271.0,5.764686453335005e-66
272.0,5.753006696766384e-66
273.0,5.451124608654411e-66
274.0,5.662816485689397e-66
275.0,5.168120636026455e-66
276.0,5.569441930244649e-66
277.0,5.562938641364243e-66
278.0,5.350014089608524e-66
279.0,5.313644736617285e-66
280.0,5.01122522712735e-66
281.0,4.972826714117924e-66
282.0,5.083244558336401e-66
283.0,4.951134399327679e-66
284.0,5.175445832770326e-66
285.0,4.884400954761105e-66
286.0,4.856446166300062e-66
287.0,4.708326418253744e-66
288.0,4.697506191077377e-66
289.0,4.780137342601364e-66
290.0,4.920540733813015e-66
291.0,4.815928409269873e-66
292.0,4.615955099168488e-66
293.0,4.4979388727249666e-66
294.0,4.5919675519465904e-66
295.0,4.6873073925346256e-66
296.0,4.3722229962547637e-66
297.0,4.2483486538094976e-66
298.0,4.162740500175861e-66
299.0,4.2917766665115476e-66
300.0,4.237761017369034e-66
301.0,4.183556780124237e-66
302.0,4.025926361717994e-66
303.0,4.1568730844199067e-66
304.0,4.239762783079539e-66
305.0,4.0137196034085215e-66
306.0,3.972119457864194e-66
307.0,3.92353793586898e-66
308.0,3.873673925022437e-66
309.0,3.717527113380042e-66
310.0,3.9109243979892705e-66
311.0,3.783950262721302e-66
312.0,3.8558780923002637e-66
313.0,3.5749947466936546e-66
314.0,3.6572595931585805e-66
315.0,3.9119497423153866e-66
316.0,3.55618616661574e-66
317.0,3.6246452793567373e-66
318.0,3.5853628251126724e-66
319.0,3.3332476678939463e-66
320.0,3.331229308543431e-66
321.0,3.402950941424774e-66
322.0,3.1637835753201903e-66
323.0,3.0788040003249886e-66
324.0,3.0798685546819747e-66
325.0,3.0255005807831827e-66
326.0,2.897870789993978e-66
327.0,3.030755109503011e-66
328.0,2.861212007668666e-66
329.0,2.938987401734165e-66
330.0,3.1716875485161785e-66
331.0,2.7256384896623524e-66
332.0,2.750081723989702e-66
333.0,2.7813439147188226e-66
334.0,2.6476679040605284e-66
335.0,2.578293649308142e-66
336.0,2.521616127842201e-66
337.0,2.525072774685846e-66
338.0,2.6506426968337263e-66
339.0,2.407059946904907e-66
340.0,2.485213116280366e-66
341.0,2.3191245980669224e-66
342.0,2.2604692729323442e-66
343.0,2.3208955334322673e-66
344.0,2.2698986475777925e-66
345.0,2.1912059358408447e-66
346.0,2.0297597248650047e-66
347.0,2.1538436032531594e-66
348.0,2.0691109777573633e-66
349.0,2.0971616355849642e-66
350.0,1.8353099188386848e-66
351.0,1.787615795547486e-66
352.0,1.7817882932021454e-66
353.0,1.6564257291718728e-66
354.0,1.9499771235493836e-66
355.0,1.5766537878883868e-66
356.0,1.6327698066228807e-66
357.0,1.5814482761588055e-66
358.0,1.4200600733064943e-66
359.0,1.3832878573826508e-66
360.0,1.472554587886667e-66
361.0,1.3629389233287945e-66
362.0,1.1503555934417015e-66
363.0,1.0967972395776693e-66
364.0,1.0467683955632013e-66
365.0,1.0201442643635457e-66
366.0,9.842180526300306e-67
367.0,9.383239810159319e-67
368.0,9.03818987674305e-67
369.0,8.825643883852098e-67
370.0,8.400227386197438e-67
371.0,8.133651391127619e-67
372.0,7.84441932268831e-67
373.0,7.658606008053931e-67
374.0,7.38086257391657e-67
375.0,7.134642563664319e-67
376.0,6.736502686369892e-67
377.0,6.628047483093825e-67
378.0,6.379715811657936e-67
379.0,6.075218473569026e-67
380.0,5.904405417469468e-67
381.0,5.739395066541263e-67
382.0,5.5394732471573566e-67
383.0,5.307243038059122e-67
384.0,5.1470898170764394e-67
385.0,4.9963110249326613e-67
386.0,4.7846820760689026e-67
387.0,4.686040396039315e-67
388.0,4.4569419832495296e-67
389.0,4.232982096701366e-67
390.0,4.12101812572279e-67
391.0,3.954116871098908e-67
392.0,3.822197994480991e-67
393.0,3.6977651057776486e-67
394.0,3.471458720552589e-67
395.0,3.33156539303241e-67
396.0,3.217620493712952e-67
397.0,3.047252636467276e-67
398.0,2.9341650413400562e-67
399.0,2.8126765550134036e-67
400.0,2.778908507061709e-67
401.0,2.5816612849493125e-67
402.0,2.4472539357279356e-67
403.0,2.4141013491559512e-67
404.0,2.287674804129701e-67
405.0,2.1604667441598393e-67
406.0,2.0215522486616578e-67
407.0,2.0298621152569592e-67
408.0,1.8023213343696554e-67
409.0,1.7330012118901685e-67
410.0,1.676800136337446e-67
411.0,1.576619054997464e-67
412.0,1.4605732532184025e-67
413.0,1.3941583682247251e-67
414.0,1.3097292035955895e-67
415.0,1.24900938438081e-67
416.0,1.1504744792925219e-67
417.0,1.0946712021286551e-67
418.0,1.0081539930079144e-67
419.0,9.499075820597394e-68
420.0,8.926150097155232e-68
421.0,7.534907293841519e-68
422.0,7.882374320012698e-68
423.0,7.105277111184125e-68
424.0,6.145103900157119e-68
425.0,5.555610977574439e-68
426.0,6.070004389818795e-68
427.0,5.056700489843584e-68
428.0,3.6866288393484247e-68
429.0,3.524362600108291e-68
430.0,4.1861604762742045e-68
431.0,3.443718494519909e-68
432.0,2.353253865362572e-68
433.0,2.0687399474914434e-68
434.0,2.356162335661927e-68
435.0,1.878825861245929e-68
436.0,1.1203689564210005e-68
437.0,1.225086350357838e-68
438.0,1.0385146410150278e-68
439.0,7.306229381996582e-69
440.0,2.364438350446723e-69
441.0,4.743096915039315e-69
442.0,1.375886230844611e-69
443.0,7.628891796584532e-70
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
