k,Es1,Es2,Es3
1.0,0.00011863930102462409,0.0001456881121659817,0.00010496330385514342
2.0,0.0009475594255722874,0.0011130916083740314,0.0014547816151441793
3.0,0.002509394791896009,0.00283920879822132,0.0028067875134872625
4.0,0.008298441648994341,0.009253184503725267,0.009285265364024572
5.0,0.0167970247005719,0.016076516373468165,0.013838658990958088
6.0,0.022490666806073763,0.021764366191715668,0.02385710885066505
7.0,0.03510554146022461,0.03273581992495965,0.03216334516927144
8.0,0.04206442252824553,0.04478277239868161,0.04384330133448269
9.0,0.06403270365877148,0.07140483372638225,0.0739991739623746
10.0,0.07488232723949573,0.07366204290617376,0.07565607407457148
11.0,0.08862653237344995,0.09462351006679584,0.09227451618565571
12.0,0.1018826568958777,0.1095478799943882,0.11021183259575836
13.0,0.1290422155417224,0.12415359483106901,0.12250257080692455
14.0,0.1324084531061527,0.13305368339890605,0.12137454482732588
15.0,0.12628518555461576,0.1275557532086567,0.1283759579602854
16.0,0.14607911264611162,0.14782108126419574,0.14738670095126474
17.0,0.14569711979775032,0.14592924565610985,0.15103231964047978
18.0,0.15096073671435709,0.1431085241021352,0.1419742593756998
19.0,0.1329356443612169,0.12638513982407695,0.12716294137017975
20.0,0.12474812390229109,0.134904341108422,0.13202123289225573
21.0,0.12824730181991292,0.1246227011258573,0.12679847743535017
22.0,0.10971146013257668,0.10825314031284536,0.10459782477219931
23.0,0.09848784788071897,0.09880167964879913,0.10039763224612178
24.0,0.08537741584382952,0.08612293458692413,0.0853844839572518
25.0,0.07868093168704661,0.07868108294325608,0.08024120136713195
26.0,0.06775038569115277,0.06893916193330861,0.0685384307666013
27.0,0.05833287549494203,0.05921192279510384,0.05793792313417181
28.0,0.05222805507934344,0.052822622172453225,0.052152380658271866
29.0,0.047110308006714556,0.04720931788114606,0.04576259333667085
30.0,0.04313407508302253,0.042345035754480356,0.04267842935819279
31.0,0.04027002213818801,0.04078123993230319,0.04009446502885226
32.0,0.03624989335043521,0.03643620527561045,0.036620189978802016
33.0,0.03576426720702789,0.03472381618805987,0.03494167279118087
34.0,0.03250732180472703,0.033768669993090236,0.033358018929164346
35.0,0.02985014141811504,0.030464494425533208,0.029943746782013173
36.0,0.02872844549700293,0.02847117728439927,0.02827487961377736
37.0,0.026375521162754437,0.026195086428818605,0.026251626977940406
38.0,0.024851129497722044,0.025129124839065344,0.024471806726035893
39.0,0.022157958425474283,0.022610178092061086,0.02247944046662358
40.0,0.021878536405419754,0.021491736113403555,0.021472201945431084
41.0,0.019911303229867318,0.01953323057661491,0.01983007631017081
42.0,0.01811237134008487,0.018172183742002045,0.01781070746679751
43.0,0.017090991358565736,0.017333255445250443,0.017306235657680892
44.0,0.015705669166246817,0.015723966246586996,0.015817427754313777
45.0,0.014937169148563937,0.015268136708580692,0.014993526897242026
46.0,0.013513752610078662,0.013956762018198978,0.013612802093644056
47.0,0.012919252290743914,0.012812598161303416,0.012766730478818523
