k,E_ux,E_uy,E_uz
1.0,0.017700519955819612,0.023715972207077878,0.02814626341091511
2.0,0.07581320655002884,0.06511540538971401,0.06391798501578838
3.0,0.19874934729807509,0.24112279780189205,0.17556585265672214
4.0,0.39699316775462834,0.4424597684595453,0.3954451261730821
5.0,0.864968173503426,0.8852325426822059,0.8810600192376663
6.0,1.246967743251053,1.1314208796366607,1.235212561747561
7.0,1.9369155456413105,1.7692171527624598,1.7706461204161879
8.0,2.745766154270064,2.518774914483846,2.3847306938051656
9.0,3.951875427431098,3.7535241896196947,3.7964035863405945
10.0,4.2915185367631,4.271593387642202,3.8335733835491848
11.0,4.523137226202214,4.479574635626678,4.646340907699339
12.0,5.516691415836534,5.233545051105136,5.3710942064475
13.0,6.075254245025333,5.910617464334833,5.976463260139946
14.0,5.8644700541554355,6.2322240572676355,6.299751634189143
15.0,5.831808349491938,5.828758409994698,6.295826417687799
16.0,6.876853915024677,7.0605613454780904,7.068809446097449
17.0,6.44373112812013,6.501090705515139,7.015490399400902
18.0,6.314032742033231,6.270816421417132,6.5903170718372905
19.0,5.499223279899241,5.763272301892677,5.937277306013309
20.0,5.485346459009392,5.763561982032577,5.889598507523111
21.0,5.3816271165225364,5.4169267976623425,5.724711570884833
22.0,4.66488082301169,4.831986267338601,5.070124931899734
23.0,4.45966341563248,4.570535972260745,4.713150529030931
24.0,4.090263022978002,4.1794807109679795,4.315033403035343
25.0,3.958498912757248,4.0636493897874315,4.231431737649515
26.0,3.7118548373200086,3.7235385819869764,3.7721238725664406
27.0,3.491183176075166,3.4176107373528746,3.461635377030248
28.0,3.353402773346085,3.317281800306855,3.361836252510537
29.0,3.0674141361794494,3.160275482738672,3.14789634776306
30.0,3.0432899967490474,3.0138544204923994,3.0608453353008946
31.0,2.9275033181374623,2.8962126581905347,2.950391387222286
32.0,2.8062693159942254,2.735184538694181,2.808173011000254
33.0,2.7416273571682646,2.6927164529451226,2.7924992724949442
34.0,2.597291826442394,2.610707300018759,2.663512845624847
35.0,2.433759661248097,2.4732502723269323,2.489332634149993
36.0,2.4232356410090126,2.3981618202987383,2.5001661500751116
37.0,2.297453046203935,2.3029337234539096,2.3677173164991463
38.0,2.198679272292586,2.250743139198133,2.3060040025703605
39.0,2.0613510484796644,2.050766481073629,2.1810126228777036
40.0,2.013559601163654,2.024247370728804,2.126454169653976
41.0,1.9828109242953318,1.9898812513028987,1.9994661592175509
42.0,1.8305098043280688,1.8595779788424258,1.886982006113024
43.0,1.8262276715784802,1.812932256686181,1.8444544189100167
44.0,1.6791296868423606,1.7286053208531964,1.7749752612414225
45.0,1.7195036123947853,1.6943098585480982,1.7379182131667206
46.0,1.6156475167086572,1.5799473212879884,1.6083981104912943
47.0,1.545052936890552,1.566876280993659,1.568757561910867
48.0,1.4855666974360238,1.5154718290608689,1.5279720519924533
49.0,1.4647012431313218,1.4771925121632392,1.5106957231578755
50.0,1.4297573321362702,1.4152595876157315,1.451581992640476
51.0,1.353476607933577,1.3563025522584526,1.3764548208127816
52.0,1.3291562215959432,1.3211403855078496,1.3395329230897937
53.0,1.2947844046387074,1.2732985687231915,1.3064459845840881
54.0,1.2163054214393538,1.223749705633101,1.2701249900741811
55.0,1.1988235790428186,1.1933806999219976,1.2142183665905422
56.0,1.1594643141479435,1.1619683044544027,1.1760903319991123
57.0,1.1204033341138258,1.1218525526766039,1.169620548008479
58.0,1.0788594385069952,1.0784238798374262,1.1099431607981447
59.0,1.0412977888925234,1.0574723432996735,1.057833357954933
60.0,1.0345468775659243,1.028615294972087,1.0489032502222067
61.0,0.9924897679275041,0.9953198821012643,1.0160176072182325
62.0,0.9632347574249381,0.971211136194601,0.9924663159116618
63.0,0.9318200415790399,0.9155168194596895,0.9311316938391861
64.0,0.918806178423377,0.9181646748598824,0.9245747035850967
65.0,0.9101183104165582,0.9056004574732179,0.9249014330155938
66.0,0.8559166761035673,0.8609403787626738,0.8712034774619866
67.0,0.8426602007355629,0.8541830392399367,0.8561066719365256
68.0,0.8118265485400906,0.8101843097204332,0.827428429635259
69.0,0.8128718190468909,0.8025187965873726,0.8211070112251445
70.0,0.771960018108087,0.7736627629755432,0.7890204632249846
71.0,0.7582217720540433,0.751556731471071,0.7611217892148414
72.0,0.7418168479048108,0.7461052977377095,0.757376800528903
73.0,0.725006737113427,0.7140474242666204,0.728340776548119
74.0,0.7123556270490217,0.7190245103720116,0.7210171724850857
75.0,0.6822731565600896,0.6760767274605477,0.6814143621804888
76.0,0.6748339006937324,0.6699187659582106,0.6784338786981963
77.0,0.6597263971096065,0.6502809476564307,0.6732418718493135
78.0,0.6318253797874229,0.6315492798879969,0.6419700815076484
79.0,0.6180555971211221,0.6282411294518632,0.630509157917796
80.0,0.6111419356296178,0.6130923922201867,0.6164394256484024
81.0,0.5999932639480974,0.603813402247657,0.6061082666390003
82.0,0.5836675651716474,0.5866930101070404,0.5866812094807969
83.0,0.567420494730769,0.5716863484716519,0.5768600741006128
84.0,0.5520672094677594,0.5541922917015172,0.5598464832947376
85.0,0.5520556945108003,0.5512367728431645,0.5539756664954004
86.0,0.5364739649508855,0.5377011428700419,0.536821260347357
87.0,0.5183358156566725,0.5146687418780076,0.5220278166101978
88.0,0.5114624486594725,0.5077727892988088,0.5154161793211143
89.0,0.5016075867197588,0.49459483209939786,0.5064280739267656
90.0,0.4902522669509853,0.49296749647410754,0.4979326539194949
91.0,0.4807531481385676,0.4773079773112524,0.47768573934705283
92.0,0.47002837816028387,0.4696523396612529,0.47081567179381567
93.0,0.4576479588038691,0.45836003057891467,0.46500501758788404
94.0,0.4491222144812577,0.45024053323862345,0.4554339072706425
